customer_id,age,gender,city_tier,join_date,segment,price_sensitivity_score,loyalty_tier,preferred_channel,discount_affinity_label
CUST00001,40,Male,Tier 2,2022-10-17,Regular,6.39,Gold,App,At-Risk
CUST00002,33,Male,Tier 3,2021-04-25,Budget,7.91,Bronze,In-Store,Addicted
CUST00003,29,Female,Tier 1,2021-01-26,Premium,3.65,Gold,App,Healthy
CUST00004,41,Male,Tier 1,2023-01-30,Regular,6.51,Gold,App,At-Risk
CUST00005,52,Male,Tier 1,2021-10-09,Regular,5.63,Silver,Website,At-Risk
CUST00006,32,Other,Tier 1,2021-09-08,Premium,1.59,Bronze,Website,Healthy
CUST00007,27,Female,Tier 2,2021-08-17,Regular,5.96,Gold,App,At-Risk
CUST00008,31,Male,Tier 3,2021-05-23,Regular,4.83,Silver,Website,Healthy
CUST00009,19,Female,Tier 3,2023-01-25,Budget,10.0,Bronze,Website,Addicted
CUST00010,37,Male,Tier 3,2021-04-15,Regular,3.3,Gold,App,Healthy
CUST00011,18,Female,Tier 3,2022-11-24,Regular,6.71,Silver,App,At-Risk
CUST00012,26,Female,Tier 3,2023-01-29,Regular,4.17,Bronze,App,Healthy
CUST00013,47,Male,Tier 3,2022-07-13,Regular,3.17,Silver,In-Store,Healthy
CUST00014,46,Male,Tier 2,2021-03-31,Regular,3.98,Gold,App,Healthy
CUST00015,44,Female,Tier 3,2022-08-28,Regular,6.75,Gold,Website,At-Risk
CUST00016,51,Female,Tier 2,2022-03-09,Budget,7.94,Bronze,App,Addicted
CUST00017,36,Male,Tier 2,2021-02-02,Regular,5.58,Bronze,App,At-Risk
CUST00018,31,Male,Tier 3,2021-01-31,Regular,4.56,Gold,App,Healthy
CUST00019,45,Female,Tier 3,2021-04-06,Regular,4.18,Bronze,Website,Healthy
CUST00020,38,Male,Tier 3,2021-08-12,Regular,5.36,Gold,App,At-Risk
CUST00021,38,Male,Tier 1,2021-08-27,Regular,5.6,Silver,App,At-Risk
CUST00022,38,Female,Tier 2,2022-06-02,Budget,9.49,Silver,Website,Addicted
CUST00023,38,Male,Tier 3,2022-09-09,Regular,4.77,Silver,App,Healthy
CUST00024,34,Male,Tier 1,2021-01-28,Regular,6.49,Silver,App,At-Risk
CUST00025,32,Male,Tier 1,2022-07-29,Regular,5.41,Bronze,Website,At-Risk
CUST00026,38,Male,Tier 3,2021-07-23,Regular,4.64,Bronze,Website,Healthy
CUST00027,42,Male,Tier 1,2023-01-04,Budget,8.52,Silver,App,Addicted
CUST00028,61,Female,Tier 2,2022-10-28,Budget,7.1,Gold,App,At-Risk
CUST00029,22,Male,Tier 2,2022-12-20,Regular,5.48,Bronze,App,At-Risk
CUST00030,40,Male,Tier 1,2022-07-13,Budget,9.32,Bronze,Website,Addicted
CUST00031,37,Female,Tier 2,2022-03-06,Regular,3.18,Gold,In-Store,Healthy
CUST00032,50,Female,Tier 2,2021-08-14,Regular,4.05,Silver,In-Store,Healthy
CUST00033,38,Female,Tier 2,2022-04-05,Regular,1.76,Gold,Website,Healthy
CUST00034,39,Male,Tier 1,2022-08-27,Premium,1.91,Silver,App,Healthy
CUST00035,57,Male,Tier 2,2021-10-12,Regular,3.02,Bronze,App,Healthy
CUST00036,40,Female,Tier 2,2023-04-09,Regular,6.85,Bronze,Website,At-Risk
CUST00037,32,Male,Tier 1,2023-06-10,Premium,3.2,Bronze,In-Store,Healthy
CUST00038,25,Female,Tier 2,2021-01-07,Budget,9.15,Bronze,Website,Addicted
CUST00039,42,Male,Tier 1,2023-02-17,Premium,1.22,Silver,In-Store,Healthy
CUST00040,24,Male,Tier 3,2023-04-06,Budget,10.0,Bronze,In-Store,Addicted
CUST00041,40,Male,Tier 3,2021-06-13,Budget,10.0,Silver,In-Store,Addicted
CUST00042,34,Female,Tier 2,2022-12-16,Regular,2.53,Silver,Website,Healthy
CUST00043,24,Female,Tier 2,2022-03-09,Budget,10.0,Silver,In-Store,Addicted
CUST00044,36,Male,Tier 2,2021-12-15,Budget,7.27,Bronze,App,At-Risk
CUST00045,41,Female,Tier 3,2021-10-12,Budget,10.0,Bronze,Website,Addicted
CUST00046,41,Female,Tier 2,2021-06-09,Budget,7.32,Bronze,App,At-Risk
